category_id,category_title,sub_category_id,sub_category_title
1,Certificates,24,"Birth Or Death Certificate"
1,Certificates,50,"Khata Certificate"
1,Certificates,148,"Property Tax"
1,Certificates,149,"Certificates - Other"
1,Certificates,149,"Other Certificates"
2,"Crime and Safety",27,"Eve Teasing/Public Nuisance"
2,"Crime and Safety",424,"Increase Number Of Beat Patrols"
2,"Crime and Safety",425,"Two Wheeler Wheeling"
2,"Crime and Safety",426,"Shops/Establishments Being Open in Late Hours"
2,"Crime and Safety",427,"Playing Of Loudspeakers Without Permisson"
4,"Electricity and Power Supply",33,"Regular Supply Of Electricity"
4,"Electricity and Power Supply",369,"Relocation Of Transformers/Electric Poles"
4,"Electricity and Power Supply",370,"Repair Of Transformers/Electric Poles"
4,"Electricity and Power Supply",428,"Installation Of New transformers/Electric Poles"
5,"Fire Safety",34,"Fire Pump is on OFF Mode"
5,"Fire Safety",90,"Fire Exit Blocked"
5,"Fire Safety",312,"Fire safety - Others"
6,"Garbage and Unsanitary Practices",78,"Fogging (Mosquito Menace) Or Pest Control"
6,"Garbage and Unsanitary Practices",155,"Clearance Of Garbage Dump Or Black Spot"
6,"Garbage and Unsanitary Practices",339,"Build Garbage/Waste Composting Units"
6,"Garbage and Unsanitary Practices",340,"Build Dry Waste Collection Centre"
6,"Garbage and Unsanitary Practices",433,"Clearing Of Roadside Dustbin"
6,"Garbage and Unsanitary Practices",442,"Collection Of Door-to-door Garbage"
6,"Garbage and Unsanitary Practices",443,"Implementation Of Waste Segregation/Garbage"
6,"Garbage and Unsanitary Practices",444,"Garbage Dumping In Vacant Lot/Land"
6,"Garbage and Unsanitary Practices",445,"Stop/Prevent Burning Of Garbage"
6,"Garbage and Unsanitary Practices",446,"Maintenance Of Dry Waste Collection Centre"
6,"Garbage and Unsanitary Practices",447,"Regular Sweeping Of Streets"
6,"Garbage and Unsanitary Practices",524,"Improper Disposal Of Feacal Waste Or  Septage"
6,"Garbage and Unsanitary Practices",537,"Dustbins not cleared"
6,"Garbage and Unsanitary Practices",538,"Garbage Dump"
6,"Garbage and Unsanitary Practices",540,"Wet Waste Vehicle Not Arrived"
6,"Garbage and Unsanitary Practices",541,"Sweeping Not Done"
6,"Garbage and Unsanitary Practices",542,"Open Manholes Or Drains"
7,Lakes,159,"Maintenance Of Lake Surrounding"
7,Lakes,160,"Removal of Encroachment In Lakes"
7,Lakes,341,"Desilting/Remove Blockage In Lakes"
7,Lakes,437,"Sidewalls And Fencing For Lake"
9,Others,42,Others
9,Others,42,"Others - Others"
11,Pollution,44,"Air Pollution"
11,Pollution,45,"Land Pollution"
11,Pollution,46,"Noise Pollution"
11,Pollution,47,"Water Pollution"
11,Pollution,167,"Pollution - Others"
15,"Mobility - Roads, Footpaths and Infrastructure",32,"Removal Of Illegal Posters And Hoardings"
15,"Mobility - Roads, Footpaths and Infrastructure",56,"Flooding/Waterlogging Of Roads And Footpaths"
