civic_agency_id,civic_agency_title,total
155,BBMP,3089
66,BBMP,2235
67,BBMP,1610
62,BBMP,1283
77,BBMP,760
442,BBMP,358
42,Unknown,346
709,BBMP,260
352,BBMP,251
46,KSPCB,249
444,BBMP,239
182,BWSSB,236
56,BBMP,225
713,BBMP,222
84,BTP,201
33,BESCOM,190
712,BBMP,182
714,BBMP,160
165,BBMP,157
192,BTP,141
72,BWSSB,125
188,BTP,122
61,BBMP,116
343,BBMP,116
289,Unknown,113
200,BTP,111
27,BCP,111
44,KSPCB,111
190,BTP,95
85,BBMP,93
474,BBMP,89
422,BBMP,80
58,BBMP,79
73,BBMP,79
715,BBMP,76
311,BWSSB,73
339,BBMP,64
63,BWSSB,52
78,BBMP,50
162,BBMP,48
471,BBMP,47
156,BBMP,45
88,BWSSB,43
344,BBMP,41
415,BBMP,39
53,BBMP,38
355,BBMP,38
349,BBMP,34
445,BBMP,33
82,BTP,31
436,BBMP,31
47,KSPCB,29
380,BWSSB,29
148,BBMP,27
180,BBMP,27
159,BBMP,27
76,BBMP,27
191,BTP,25
189,BTP,24
723,BTP,24
45,KSPCB,23
32,BBMP,22
354,BBMP,21
155,"Bruhat Bengaluru Mahanagara Palike",21
710,BBMP,21
167,KSPCB,20
447,BBMP,20
377,BTP,19
340,BBMP,19
353,BBMP,18
347,BBMP,17
433,BBMP,17
356,BBMP,16
420,BWSSB,16
198,BTP,16
476,BTP,16
75,BBMP,16
341,BBMP,15
430,BTP,15
193,BTP,15
358,BBMP,15
242,BWSSB,15
715,Unknown,15
450,BBMP,14
370,BESCOM,14
197,BTP,14
195,BTP,13
67,"Bruhat Bengaluru Mahanagara Palike",13
72,Unknown,13
475,BTP,13
378,BWSSB,13
374,BTP,13
422,Unknown,13
428,BESCOM,13
231,BWSSB,13
87,BBMP,12
453,BBMP,12
66,"Bruhat Bengaluru Mahanagara Palike",11
427,BCP,11
62,"Bruhat Bengaluru Mahanagara Palike",11
375,BTP,11
419,BTP,11
413,BBMP,10
50,BBMP,10
64,BMTC,10
149,BBMP,10
395,BBMP,10
394,BBMP,10
369,BESCOM,10
157,BBMP,10
241,BWSSB,10
451,BBMP,9
368,BBMP,9
538,Unknown,9
546,Unknown,9
256,BCP,9
170,BMTC,8
77,"Bruhat Bengaluru Mahanagara Palike",8
169,BMTC,8
73,BWSSB,8
84,Unknown,8
511,Unknown,8
160,BBMP,7
199,BTP,7
385,BBMP,7
27,Unknown,7
443,BBMP,7
352,Unknown,7
449,BBMP,7
425,BCP,6
60,BBMP,6
312,KSFES,6
24,BBMP,6
365,BBMP,6
239,BWSSB,6
279,BWSSB,6
246,BESCOM,6
72,BBMP,5
452,BBMP,5
440,BBMP,5
513,BBMP,5
594,Unknown,5
714,"Bruhat Bengaluru Mahanagara Palike",5
506,Unknown,4
347,Unknown,4
46,"Karnataka State Pollution Control Board",4
424,BCP,4
434,BBMP,4
238,BWSSB,4
372,BMTC,3
196,BTP,3
415,Unknown,3
465,BBMP,3
58,Unknown,3
542,Unknown,3
90,KSFES,3
442,Unknown,3
468,BBMP,3
541,Unknown,3
3,BBMP,3
294,BMTC,3
240,BWSSB,3
466,BBMP,3
305,BESCOM,3
215,BDA,3
426,BCP,3
713,"Bruhat Bengaluru Mahanagara Palike",3
467,BBMP,3
356,"Bruhat Bengaluru Mahanagara Palike",2
435,BBMP,2
73,Unknown,2
78,"Bruhat Bengaluru Mahanagara Palike",2
477,Unknown,2
341,Unknown,2
192,Unknown,2
381,BWSSB,2
446,BBMP,2
404,BBMP,2
173,KSRTC,2
524,Unknown,2
422,"Bruhat Bengaluru Mahanagara Palike",2
77,Unknown,2
156,Unknown,2
526,Unknown,2
63,Unknown,2
525,Unknown,2
190,"Bangalore Traffic Police",2
355,"Bruhat Bengaluru Mahanagara Palike",2
3,"Bruhat Bengaluru Mahanagara Palike",2
609,Unknown,2
352,"Bruhat Bengaluru Mahanagara Palike",2
437,BBMP,2
303,BESCOM,2
456,BBMP,2
711,BBMP,2
296,BMTC,2
357,BBMP,2
293,BMTC,2
194,BTP,2
247,BESCOM,2
401,BBMP,2
257,BCP,2
393,BBMP,2
217,BTP,2
160,"Bruhat Bengaluru Mahanagara Palike",1
192,"Bangalore Traffic Police",1
175,KSRTC,1
190,Unknown,1
189,"Bangalore Traffic Police",1
488,Unknown,1
200,Unknown,1
359,BBMP,1
73,"Bangalore Water Supply And Sewerage Board",1
44,"Karnataka State Pollution Control Board",1
447,Unknown,1
84,"Bangalore Traffic Police",1
66,Unknown,1
377,Unknown,1
424,Unknown,1
56,Unknown,1
200,"Bangalore Traffic Police",1
340,"Bruhat Bengaluru Mahanagara Palike",1
476,Unknown,1
463,BBMP,1
505,Unknown,1
537,Unknown,1
370,"Bangalore Electricity Supply Company",1
545,Unknown,1
540,Unknown,1
498,Unknown,1
496,Unknown,1
528,Unknown,1
402,BBMP,1
535,Unknown,1
430,"Bangalore Traffic Police",1
347,"Bruhat Bengaluru Mahanagara Palike",1
388,BBMP,1
450,"Bruhat Bengaluru Mahanagara Palike",1
399,BBMP,1
544,Unknown,1
613,Unknown,1
610,Unknown,1
180,"Bruhat Bengaluru Mahanagara Palike",1
32,"Bruhat Bengaluru Mahanagara Palike",1
588,Unknown,1
681,Unknown,1
597,Unknown,1
225,BMTC,1
410,BBMP,1
34,KSFES,1
201,BTP,1
53,"Bruhat Bengaluru Mahanagara Palike",1
429,BTP,1
678,Unknown,1
652,Unknown,1
232,BWSSB,1
458,BBMP,1
512,BBMP,1
363,BBMP,1
165,"Bruhat Bengaluru Mahanagara Palike",1
469,BBMP,1
174,KSRTC,1
474,"Bruhat Bengaluru Mahanagara Palike",1
343,"Bruhat Bengaluru Mahanagara Palike",1
239,"Bangalore Water Supply And Sewerage Board",1
390,BBMP,1
471,"Bruhat Bengaluru Mahanagara Palike",1
431,BWSSB,1
712,"Bruhat Bengaluru Mahanagara Palike",1
444,"Bruhat Bengaluru Mahanagara Palike",1
344,"Bruhat Bengaluru Mahanagara Palike",1
709,"Bruhat Bengaluru Mahanagara Palike",1
459,BBMP,1
162,"Bruhat Bengaluru Mahanagara Palike",1
58,"Bruhat Bengaluru Mahanagara Palike",1
224,BDA,1
276,BWSSB,1
361,BBMP,1
